source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
MedQA,mcq_medical,,Which of the following events is likely to occur in the germinal center?,step1,"['A', 'B', 'C', 'D']","['Development of early pro-B cells', 'Development of immature B cells', 'Isotype switching', 'Formation of double-positive T cells']",C,2,Isotype switching,,,"{'metamap_phrases': ['following events', 'likely to occur', 'germinal center']}"
AQUA-RAT,mcq_rationale,,"When positive integer N is divided by positive integer J, the remainder is 28. If N/J = 154.04, what is value of J?",,"['A', 'B', 'C', 'D', 'E']","['400', '350', '700', '750', '800']",C,2,700,"When a number is divided by another number, we can represent it as : Dividend = Quotient * Divisor + Remainder
So, Dividend/Divisor = Quotient + Remainder/Divisor
Given that N/J = 154.04
Here 154 is the quotient.
Given that Remainder = 28
So, 154.04 = 154 + 28/J
So, J = 700
Answer: C",,{}
AQUA-RAT,mcq_rationale,,Two cyclist start from the same places in opposite directions. One is going towards north at 10kmph and the other is going towards south 40kmph. What time will they take to be 50km apart?,,"['A', 'B', 'C', 'D', 'E']","['1hr', '2hrs', '3hrs', '5hrs', '6hrs']",A,0,1hr,"To be (10+40) km apart, they take 1 hour
To be 50 km apart, they take 1/50 *50 = 1 hrs
Answer is A",,{}
ReClor,reading_comp_mcq,train_2586,"Which of the following, if true, most seriously weakens the conclusion above?","Red blood cells in which the malarial-fever parasite resides are eliminated from a person's body after 120 days. Because the parasite cannot travel to a new generation of red blood cells, any fever that develops in a person more than 120 days after that person has moved to a malaria-free region is not due to the malarial parasite.","['A', 'B', 'C', 'D']","['The fever caused by the malarial parasite may resemble the fever caused by flu viruses.', 'Many malarial symptoms other than the fever, which can be suppressed with antimalarial medication, can reappear within 120 days after the medication is discontinued.', 'The anopheles mosquito, which is the principal insect carrier of the malarial parasite, has been eradicated in many parts of the world.', ""In some cases, the parasite that causes malarial fever travels to cells of the spleen, which are less frequently eliminated from a person's body than are red blood cells.""]",D,3,"In some cases, the parasite that causes malarial fever travels to cells of the spleen, which are less frequently eliminated from a person's body than are red blood cells.",,,{}
AQUA-RAT,mcq_rationale,,"How many four digit even numbers can be formed using the digits {2, 3, 5, 1, 7, 9}",,"['A', 'B', 'C', 'D', 'E']","['100', '360', '120', '240', '60']",E,4,60,"Explanation:
The given digits are 1, 2, 3, 5, 7, 9
A number is even when its units digit is even. Of the given digits, two is the only even digit.
Units place is filled with only '2' and the remaining three places can be filled in ⁵P₃ ways.
Number of even numbers = ⁵P₃ = 60.
ANSWER IS E",,{}
AQUA-RAT,mcq_rationale,,"A work as fast as B. If B can complete a work in 16days independently,the number of days in which A and B can together finish the work in?",,"['A', 'B', 'C', 'D', 'E']","['2days', '3days', '4days', '5 1/3days', '6days']",D,3,5 1/3days,"Ratio of rates of working of A and B = 2:1
ratio of times taken = 1:2
A's 1day work = 1/8
B's 1day work = 1/16
A+B 1day work = 1/8 + 1/16 = 3/16 => 16/3 = 5 1/3
A and B can finish the work in 5 1/3 days
Answer is D",,{}
ReClor,reading_comp_mcq,train_3290,"The statements above, if true, most strongly support which one of the following hypotheses?","A purse containing 32 ancient gold coins that had been minted in Morocco was discovered in the ruins of an ancient Jordanian city some 4, 000 kilometers to the east of Morocco. In its time the Jordanian city was an important trading center along the trade route linking China and Europe, and it was also a popular stopover for pilgrims on the route between Morocco and Mecca. The purse of a trader in the city would probably have contained a more diverse set of coins.","['A', 'B', 'C', 'D']","['Most gold coins available during the time when the ancient city thrived were minted in Morocco.', 'Pilgrims and traders in the ancient city were unlikely to have interacted with one another.', 'Moroccan coins were more valuable in the ancient city than were Jordanian coins.', 'The purse with the gold coins had been brought to the ancient city by a pilgrim on the route between Morocco and Mecca.']",D,3,The purse with the gold coins had been brought to the ancient city by a pilgrim on the route between Morocco and Mecca.,,,{}
MMLU,mcq,,"Not many things in life can be more irritating: you are having a conversation with friends, but they check their phones and begin replying to texts or checking their emails. The Guardian   described the scene of a friend's face buried in a screen as ""a distinct 21st-century problem"". A new word has been created to describe this --- phubbing. It is the act of looking at your mobile phone instead of paying attention to others during a social interaction. Like pointing at one's nose, phubbing is widely considered rude behavior. People everywhere are beginning to lose patience with the phenomenon. A ""Stop Phubbing"" campaign group has been started in Australia and at least five others have sprung up in its wake as anger about the lack of manners grows. The campaign's creator, Alex Haigh, 23, from Melbourne, said, ""A group of friends and I were chatting when someone raised how annoying being ignored by people on mobiles was."" He has created a website where companies can download posters to discourage phubbing. Phubbing is just one symptom of our increasing dependence on mobile phones and the Internet, which is replacing normal social interaction. A survey found that one out of three Britons would answer the phone in a restaurant and 19% said they would while being served in a shop. The survey came after a supermarket assistant in south London refused to serve a woman until she stopped using her phone. A poll, for a Sunday paper, also found that 54 percent of people checked Facebook, Twitter or other social media every day, with 16 per cent checking more than ten times a day. An unsurprising 63 per cent of people carry their phone with them ""almost all, or all of the time"", it found. Phil Reed, a professor of psychology at Swansea University who has studied the Internet addiction disorder, said many phubbers show symptoms of addiction to their mobile phones. Time magazine once pointed out, ""Phubbing has a much greater potential harm to real-life connections by making people around us feel like we care more about posts than their presence."" In the UK, Glamour magazine even imagined how novelist Jane Austen (1775-1817) would have written about people with bad mobile phone manners: ""It is a truth universally acknowledged that a single man or woman in possession of a good mobile phone must be in want of manners."" The supermarket assistant refused to serve the woman mainly because   _  .",,"['A', 'B', 'C', 'D']","['the woman buried her face in the mobile phone screen for a very long time', 'the woman ignored respect and manners by focusing only on her phone', 'the assistant lost his patience with the woman who was using her phone', 'it is rare for customers to answer the phone while being served in shops']",B,1,the woman ignored respect and manners by focusing only on her phone,,,{}
ARC-Easy,mcq_science,Mercury_7042683,"Several types of mechanisms in the body regulate the rate of chemical reactions in the digestive system. Among the most important are feedback systems, which control the release rate of",,"['A', 'B', 'C', 'D']","['lipids.', 'enzymes.', 'nucleic acids.', 'carbohydrates.']",B,1,enzymes.,,,{}
SciQ,mcq_science,,What kind of parasites are nearly all ticks that live on the body surfaces of reptiles or mammals?,,"['A', 'B', 'C', 'D']","['bloodsucking', 'helminths', 'protozoa', 'ectoparasites']",A,0,bloodsucking,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
ReClor,reading_comp_mcq,train_59,"Which of the following, if true, most weakens the argument above?","Crops can be traded on the futures market before they are harvested. If a poor corn harvest is predicted, prices of corn futures rise; if a bountiful corn harvest is predicted, prices of corn futures fall. This morning meteorologists are predicting much-needed rain for the corn-growing region starting tomorrow. Ttherefore, since adequate moisture is essential for the current crop' s survival, prices of corn futures will fall sharply today.","['A', 'B', 'C', 'D']","['Most people who trade in corn futures rarely take physical possession of the corn they trade.', 'Futures prices for corn have been fluctuating more dramatically this season than last season.', 'Agriculture experts announced today that a disease that has devastated some of the corn crop will spread widely before the end of the growing season.', 'Corn that does not receive adequate moisture during its critical pollination stage will not produce a bountiful harvest.']",C,2,Agriculture experts announced today that a disease that has devastated some of the corn crop will spread widely before the end of the growing season.,,,{}
MedQA,mcq_medical,,"A 13-year-old girl presents with a 4-week history of unrelenting cough, night sweats, and fever. No known past medical history and no current medications. The patient recently immigrated to the country from a rural town in northern India. Vaccination status is unknown. Her temperature is 38.5°C (101.3°F), pulse is 115/min, blood pressure is 95/65 mm Hg, and respiratory rate is 22/min. Physical examination is significant for decreased breath sounds in the right upper lobe and multiple right cervical lymphadenopathies. A chest radiograph reveals multiple cavitations in the right upper lobe and right hilar lymphadenopathy. A sputum culture shows acid-fast bacilli. Which of the following compounds must be included in addition to the recommended antimicrobial therapy in this patient?",step1,"['A', 'B', 'C', 'D']","['Riboflavin', 'Pyridoxine', 'Niacin', 'Folic acid']",B,1,Pyridoxine,,,"{'metamap_phrases': ['year old girl presents', 'week history', 'cough', 'night sweats', 'fever', 'known past medical history', 'current medications', 'patient recently', 'country', 'rural town', 'northern India', 'Vaccination status', 'unknown', 'temperature', 'pulse', 'min', 'blood pressure', '95 65 mm Hg', 'respiratory rate', 'min', 'Physical examination', 'significant', 'decreased breath sounds', 'right upper lobe', 'multiple right cervical lymphadenopathies', 'chest radiograph reveals multiple cavitations', 'right upper lobe', 'right hilar lymphadenopathy', 'sputum culture shows acid-fast bacilli', 'following compounds', 'included in addition to', 'recommended antimicrobial therapy', 'patient']}"
